id_empresa,nome_fantasia,municipio,segmento,data_abertura,numero_funcionarios,faturamento_anual,status
306,Empresa 306 LTDA,Balneário Camboriú,Comércio,2018-02-19,20,4537036.95,Inativo
307,Empresa 307 LTDA,Balneário Camboriú,Indústria,2012-03-24,65,3139978.08,Ativo
308,Empresa 308 LTDA,Jaraguá do Sul,Turismo,2018-03-29,8,628645.3,Ativo
309,Empresa 309 LTDA,Itajaí,Agronegócio,2022-03-19,144,4702169.01,Ativo
310,Empresa 310 LTDA,Criciúma,Indústria,2018-01-17,142,3157154.86,Ativo
311,Empresa 311 LTDA,Chapecó,Serviços,2011-05-12,115,,Ativo
312,Empresa 312 LTDA,Itajaí,Agronegócio,2018-12-06,143,739396.76,Ativo
313,Empresa 313 LTDA,Chapecó,Agronegócio,2016-03-10,92,3980424.69,Ativo
314,Empresa 314 LTDA,,Indústria,2014-04-04,98,3119360.14,Suspenso
315,Empresa 315 LTDA,São José,Serviços,2012-09-27,66,2690632.41,Ativo
316,Empresa 316 LTDA,Blumenau,Turismo,2020-03-14,32,4474768.29,Ativo
317,Empresa 317 LTDA,Criciúma,Agronegócio,2012-01-21,86,3953556.2,Ativo
318,Empresa 318 LTDA,Lages,Indústria,2014-10-04,51,800790.65,Ativo
319,Empresa 319 LTDA,Itajaí,Indústria,2023-05-24,63,1593024.24,Ativo
320,Empresa 320 LTDA,Joinville,Turismo,2010-06-24,125,1280021.24,Ativo
321,Empresa 321 LTDA,Florianópolis,Serviços,2011-02-19,58,3732534.15,Ativo
322,Empresa 322 LTDA,Lages,Indústria,2017-06-25,58,215985.55,Ativo
323,Empresa 323 LTDA,Balneário Camboriú,Indústria,2015-06-19,86,2870953.94,Ativo
324,Empresa 324 LTDA,Balneário Camboriú,Indústria,2012-10-28,49,3824170.49,Suspenso
325,Empresa 325 LTDA,Joinville,Comércio,2022-08-31,70,4389989.9,Ativo
326,Empresa 326 LTDA,Joinville,Tecnologia,2014-08-09,15,1743304.66,Ativo
327,Empresa 327 LTDA,Jaraguá do Sul,Turismo,2011-07-17,54,4115223.66,Ativo
328,Empresa 328 LTDA,Chapecó,Comércio,2022-06-07,101,597627.1,Ativo
329,Empresa 329 LTDA,Jaraguá do Sul,Indústria,2014-08-25,8,4239938.84,Ativo
330,Empresa 330 LTDA,Criciúma,Tecnologia,2023-02-25,53,681068.88,Ativo
331,Empresa 331 LTDA,Blumenau,Turismo,2014-11-05,60,2016572.09,Ativo
332,Empresa 332 LTDA,Itajaí,Agronegócio,2015-03-24,108,3996612.06,Ativo
333,Empresa 333 LTDA,Joinville,Turismo,2017-05-15,5,792091.27,Ativo
334,Empresa 334 LTDA,Chapecó,Comércio,2013-04-23,103,1184794.41,Ativo
335,Empresa 335 LTDA,Itajaí,Comércio,2023-05-15,6,3625150.21,Ativo
336,Empresa 336 LTDA,Criciúma,Comércio,2010-01-24,109,3614180.86,Inativo
337,Empresa 337 LTDA,Blumenau,Turismo,2016-03-21,116,,Ativo
338,Empresa 338 LTDA,Lages,Serviços,2013-03-31,94,3485044.8,Ativo
339,Empresa 339 LTDA,Jaraguá do Sul,Indústria,2012-11-30,47,2736485.99,Ativo
340,Empresa 340 LTDA,Criciúma,Turismo,2022-02-12,99,1296405.34,Ativo
341,Empresa 341 LTDA,Balneário Camboriú,Agronegócio,2015-08-16,55,1761195.17,Ativo
342,Empresa 342 LTDA,Jaraguá do Sul,Agronegócio,2013-11-30,52,948908.7,Ativo
343,Empresa 343 LTDA,Florianópolis,Agronegócio,2012-06-19,144,4546830.28,Ativo
344,Empresa 344 LTDA,Jaraguá do Sul,Indústria,2010-07-31,13,,Ativo
345,Empresa 345 LTDA,Criciúma,Tecnologia,2012-12-15,114,2034214.51,Ativo
346,Empresa 346 LTDA,Joinville,Comércio,2010-05-02,124,2336928.73,Ativo
347,Empresa 347 LTDA,Blumenau,Indústria,2018-01-13,106,4739052.53,Ativo
348,Empresa 348 LTDA,,Comércio,2015-05-04,147,809089.45,Ativo
349,Empresa 349 LTDA,Joinville,Indústria,2023-03-17,145,2951837.67,Ativo
350,Empresa 350 LTDA,Joinville,Comércio,2017-04-06,120,2554148.96,Ativo
351,Empresa 351 LTDA,Jaraguá do Sul,Indústria,2010-05-10,63,3076698.47,Ativo
352,Empresa 352 LTDA,Blumenau,Tecnologia,2013-11-28,19,139645.41,Ativo
353,Empresa 353 LTDA,Criciúma,Turismo,2015-12-14,92,4367013.35,Ativo
354,Empresa 354 LTDA,Criciúma,Agronegócio,2011-03-06,58,4663985.5,Ativo
355,Empresa 355 LTDA,Balneário Camboriú,Comércio,2012-11-04,90,2847409.26,Inativo
356,Empresa 356 LTDA,,Indústria,2019-06-11,117,3498421.58,Ativo
357,Empresa 357 LTDA,Itajaí,Tecnologia,2021-10-19,62,4616371.94,Ativo
358,Empresa 358 LTDA,Chapecó,Tecnologia,2012-07-20,23,3550831.24,Ativo
359,Empresa 359 LTDA,Criciúma,Agronegócio,2011-06-05,127,805068.26,Ativo
360,Empresa 360 LTDA,Jaraguá do Sul,Indústria,2020-09-06,137,2902627.38,Ativo
361,Empresa 361 LTDA,Lages,Turismo,2020-01-21,140,3053239.48,Ativo
362,Empresa 362 LTDA,Criciúma,Comércio,2018-02-13,129,2149446.82,Ativo
363,Empresa 363 LTDA,Florianópolis,Turismo,2021-07-06,58,3695398.97,Ativo
364,Empresa 364 LTDA,Joinville,Serviços,2023-04-26,122,4675116.72,Ativo
365,Empresa 365 LTDA,São José,Tecnologia,2012-06-12,1,4631564.14,Ativo
366,Empresa 366 LTDA,Criciúma,Tecnologia,2020-02-20,34,2281654.89,Suspenso
367,Empresa 367 LTDA,Florianópolis,Agronegócio,2021-04-20,96,610528.33,Ativo
368,Empresa 368 LTDA,Florianópolis,Indústria,2014-12-20,126,4924963.93,Ativo
369,Empresa 369 LTDA,Itajaí,Serviços,2010-12-22,118,4202545.53,Ativo
370,Empresa 370 LTDA,Blumenau,Serviços,2021-09-11,48,667080.27,Inativo
371,Empresa 371 LTDA,Criciúma,Serviços,2016-10-06,89,4608167.32,Ativo
372,Empresa 372 LTDA,Blumenau,Indústria,2020-04-10,117,4355986.99,Ativo
373,Empresa 373 LTDA,Lages,Comércio,2010-09-13,129,2618248.38,Ativo
374,Empresa 374 LTDA,Jaraguá do Sul,Tecnologia,2011-05-14,16,2976813.41,Ativo
375,Empresa 375 LTDA,São José,Indústria,2020-09-28,69,2025063.38,Ativo
376,Empresa 376 LTDA,Jaraguá do Sul,Serviços,2019-01-04,22,321070.11,Ativo
377,Empresa 377 LTDA,Florianópolis,Tecnologia,2019-07-25,93,1709226.35,Suspenso
378,Empresa 378 LTDA,Joinville,Tecnologia,2012-06-03,76,4024124.57,Ativo
379,Empresa 379 LTDA,Joinville,Serviços,2020-12-30,144,72928.51,Ativo
380,Empresa 380 LTDA,Blumenau,Serviços,2019-12-13,86,1700820.9,Ativo
381,Empresa 381 LTDA,Jaraguá do Sul,Tecnologia,2011-08-26,29,2020935.03,Ativo
382,Empresa 382 LTDA,Florianópolis,Agronegócio,2011-10-24,69,2710108.23,Ativo
383,Empresa 383 LTDA,Itajaí,Turismo,2017-03-23,47,4603285.3,Suspenso
384,Empresa 384 LTDA,Balneário Camboriú,Turismo,2023-08-24,94,1764412.67,Ativo
385,Empresa 385 LTDA,Jaraguá do Sul,Tecnologia,2013-04-30,144,1767418.35,Suspenso
386,Empresa 386 LTDA,Blumenau,Comércio,2011-06-23,85,3700631.18,Suspenso
387,Empresa 387 LTDA,São José,Comércio,2012-10-30,39,2288478.81,Ativo
388,Empresa 388 LTDA,Blumenau,Agronegócio,2016-03-02,100,1161793.87,Ativo
389,Empresa 389 LTDA,Florianópolis,Indústria,2023-02-17,33,2289575.6,Ativo
390,Empresa 390 LTDA,Criciúma,Tecnologia,2022-04-20,101,747242.25,Ativo
391,Empresa 391 LTDA,Itajaí,Comércio,2017-04-17,23,923115.58,Ativo
392,Empresa 392 LTDA,Florianópolis,Tecnologia,2018-07-18,10,2516920.48,Ativo
393,Empresa 393 LTDA,Itajaí,Agronegócio,2023-05-26,69,2123680.98,Ativo
394,Empresa 394 LTDA,Chapecó,Serviços,2021-11-25,100,4578487.21,Ativo
395,Empresa 395 LTDA,Chapecó,Agronegócio,2016-08-12,34,1843849.8,Ativo
396,Empresa 396 LTDA,Joinville,Agronegócio,2020-03-05,138,2923912.33,Ativo
397,Empresa 397 LTDA,Itajaí,Agronegócio,2021-05-04,147,3179708.23,Ativo
398,Empresa 398 LTDA,Jaraguá do Sul,Comércio,2023-07-31,96,,Suspenso
399,Empresa 399 LTDA,São José,Agronegócio,2019-08-26,1,3334509.99,Ativo
400,Empresa 400 LTDA,Balneário Camboriú,Serviços,2012-03-23,69,931278.04,Ativo
401,Empresa 401 LTDA,Blumenau,Serviços,2012-07-26,4,4807298.07,Ativo
402,Empresa 402 LTDA,Chapecó,Serviços,2022-05-14,16,785880.5,Ativo
403,Empresa 403 LTDA,Blumenau,Indústria,2014-10-28,24,2102389.41,Ativo
404,Empresa 404 LTDA,Blumenau,Agronegócio,2019-08-25,80,472480.86,Ativo
405,Empresa 405 LTDA,São José,Serviços,2020-02-17,2,4984527.55,Suspenso
406,Empresa 406 LTDA,Florianópolis,Indústria,2015-02-15,128,2535865.3,Ativo
407,Empresa 407 LTDA,Blumenau,Agronegócio,2019-04-13,84,2997155.84,Inativo
408,Empresa 408 LTDA,Itajaí,Agronegócio,2017-08-08,140,382028.56,Ativo
409,Empresa 409 LTDA,São José,Tecnologia,2020-03-04,124,3762304.33,Ativo
410,Empresa 410 LTDA,Chapecó,Agronegócio,2018-12-11,33,1089032.69,Ativo
411,Empresa 411 LTDA,Criciúma,Turismo,2019-05-01,101,4495368.73,Ativo
412,Empresa 412 LTDA,Blumenau,Tecnologia,2012-02-18,12,1065441.22,Ativo
413,Empresa 413 LTDA,Joinville,Comércio,2017-01-04,67,993904.22,Ativo
414,Empresa 414 LTDA,São José,Turismo,2019-07-29,65,230920.86,Ativo
415,Empresa 415 LTDA,Florianópolis,Comércio,2017-01-04,74,2386731.38,Ativo
416,Empresa 416 LTDA,,Indústria,2015-09-20,43,2845963.61,Ativo
417,Empresa 417 LTDA,Chapecó,Turismo,2018-05-25,44,375257.77,Ativo
418,Empresa 418 LTDA,Chapecó,Tecnologia,2013-06-04,29,3888861.7,Ativo
419,Empresa 419 LTDA,Lages,Comércio,2020-08-21,141,2293779.73,Ativo
420,Empresa 420 LTDA,Itajaí,Comércio,2011-07-04,12,2645731.83,Ativo
421,Empresa 421 LTDA,Criciúma,Comércio,2012-01-18,95,2231775.6,Ativo
422,Empresa 422 LTDA,Chapecó,Agronegócio,2011-12-01,46,2033777.15,Ativo
423,Empresa 423 LTDA,Chapecó,Tecnologia,2012-02-03,130,2820219.64,Ativo
424,Empresa 424 LTDA,Florianópolis,Comércio,2019-09-08,35,818439.22,Ativo
425,Empresa 425 LTDA,Chapecó,Tecnologia,2012-03-02,81,950544.25,Ativo
426,Empresa 426 LTDA,São José,Serviços,2018-05-11,90,4315838.82,Ativo
427,Empresa 427 LTDA,Itajaí,Serviços,2012-12-01,8,,Inativo
428,Empresa 428 LTDA,,Turismo,2022-06-24,93,1897881.12,Ativo
429,Empresa 429 LTDA,Joinville,Agronegócio,2011-05-07,90,,Ativo
430,Empresa 430 LTDA,Criciúma,Serviços,2023-02-26,115,3237797.74,Ativo
431,Empresa 431 LTDA,Itajaí,Indústria,2022-08-06,105,2073234.15,Ativo
432,Empresa 432 LTDA,Jaraguá do Sul,Tecnologia,2022-08-07,135,175662.46,Inativo
433,Empresa 433 LTDA,São José,Comércio,2017-05-24,58,822955.36,Ativo
434,Empresa 434 LTDA,Jaraguá do Sul,Indústria,2012-09-28,114,3594062.53,Inativo
435,Empresa 435 LTDA,Itajaí,Turismo,2019-03-20,75,3311673.51,Ativo
436,Empresa 436 LTDA,,Indústria,2017-12-06,120,184125.16,Ativo
437,Empresa 437 LTDA,Joinville,Turismo,2019-06-27,21,1148762.2,Ativo
438,Empresa 438 LTDA,Criciúma,Serviços,2011-02-26,138,1193820.24,Ativo
439,Empresa 439 LTDA,Blumenau,Tecnologia,2016-06-14,101,3375869.08,Suspenso
440,Empresa 440 LTDA,Balneário Camboriú,Turismo,2023-06-20,99,147567.16,Ativo
441,Empresa 441 LTDA,Criciúma,Comércio,2017-01-03,36,565337.48,Ativo
442,Empresa 442 LTDA,Florianópolis,Indústria,2017-11-20,96,4009584.62,Ativo
443,Empresa 443 LTDA,Joinville,Turismo,2012-04-28,37,933796.08,Ativo
444,Empresa 444 LTDA,Balneário Camboriú,Agronegócio,2022-12-18,12,3281093.23,Ativo
445,Empresa 445 LTDA,São José,Turismo,2021-05-19,113,1229004.77,Ativo
446,Empresa 446 LTDA,Itajaí,Comércio,2014-10-09,13,542234.89,Ativo
447,Empresa 447 LTDA,Itajaí,Serviços,2013-06-21,23,1253702.35,Ativo
448,Empresa 448 LTDA,São José,Tecnologia,2020-10-25,99,3625221.31,Ativo
449,Empresa 449 LTDA,Balneário Camboriú,Agronegócio,2015-01-12,105,4285697.52,Inativo
450,Empresa 450 LTDA,Jaraguá do Sul,Comércio,2012-06-05,30,,Ativo
451,Empresa 451 LTDA,Joinville,Turismo,2017-11-08,17,2016058.47,Inativo
452,Empresa 452 LTDA,São José,Comércio,2022-06-23,113,3357021.43,Ativo
453,Empresa 453 LTDA,Balneário Camboriú,Indústria,2018-03-31,62,1064672.26,Inativo
454,Empresa 454 LTDA,Chapecó,Comércio,2012-07-30,84,1501081.26,Ativo
455,Empresa 455 LTDA,Criciúma,Tecnologia,2016-04-01,112,4486862.3,Inativo
456,Empresa 456 LTDA,Florianópolis,Tecnologia,2022-11-17,86,114359.52,Ativo
457,Empresa 457 LTDA,São José,Comércio,2015-01-27,141,,Ativo
458,Empresa 458 LTDA,Florianópolis,Indústria,2019-08-17,19,1079036.96,Ativo
459,Empresa 459 LTDA,Jaraguá do Sul,Agronegócio,2022-08-01,100,181334.41,Ativo
460,Empresa 460 LTDA,Jaraguá do Sul,Turismo,2022-06-27,140,948105.4,Ativo
461,Empresa 461 LTDA,Chapecó,Agronegócio,2010-08-04,147,2936055.73,Ativo
462,Empresa 462 LTDA,Itajaí,Indústria,2023-08-29,76,2136051.53,Inativo
463,Empresa 463 LTDA,São José,Serviços,2015-12-31,9,4468724.97,Ativo
464,Empresa 464 LTDA,Joinville,Tecnologia,2010-08-26,28,4096345.63,Ativo
465,Empresa 465 LTDA,Itajaí,Serviços,2014-01-17,128,1741995.89,Ativo
466,Empresa 466 LTDA,Balneário Camboriú,Turismo,2016-02-17,52,1334146.0,Ativo
467,Empresa 467 LTDA,Itajaí,Indústria,2016-12-06,83,1929477.42,Ativo
468,Empresa 468 LTDA,Joinville,Turismo,2017-08-15,111,2971959.97,Ativo
469,Empresa 469 LTDA,Criciúma,Serviços,2017-11-15,144,1376915.02,Ativo
470,Empresa 470 LTDA,Jaraguá do Sul,Indústria,2010-02-20,117,3139537.09,Ativo
471,Empresa 471 LTDA,Criciúma,Agronegócio,2014-01-26,69,2076587.68,Ativo
472,Empresa 472 LTDA,São José,Agronegócio,2013-03-19,99,2782633.55,Ativo
473,Empresa 473 LTDA,Itajaí,Serviços,2022-09-14,140,2208826.32,Ativo
474,Empresa 474 LTDA,São José,Serviços,2018-12-28,25,1507605.51,Ativo
475,Empresa 475 LTDA,Criciúma,Tecnologia,2011-07-25,123,4744843.87,Ativo
476,Empresa 476 LTDA,Jaraguá do Sul,Agronegócio,2013-03-08,53,3829848.68,Inativo
477,Empresa 477 LTDA,Blumenau,Tecnologia,2010-09-09,144,743560.22,Ativo
478,Empresa 478 LTDA,Chapecó,Serviços,2012-01-22,57,4348916.48,Suspenso
479,Empresa 479 LTDA,São José,Turismo,2021-11-24,39,2462784.43,Ativo
480,Empresa 480 LTDA,São José,Indústria,2014-10-29,109,4478033.52,Ativo
481,Empresa 481 LTDA,Blumenau,Agronegócio,2018-06-09,42,4009283.52,Ativo
482,Empresa 482 LTDA,Balneário Camboriú,Indústria,2019-06-02,142,2154806.85,Ativo
483,Empresa 483 LTDA,Balneário Camboriú,Tecnologia,2020-03-05,122,161223.08,Ativo
484,Empresa 484 LTDA,Criciúma,Tecnologia,2017-08-24,133,1379952.93,Ativo
485,Empresa 485 LTDA,São José,Comércio,2013-07-13,75,2731089.36,Ativo
486,Empresa 486 LTDA,Jaraguá do Sul,Turismo,2018-04-20,146,3185717.19,Ativo
487,Empresa 487 LTDA,Florianópolis,Agronegócio,2016-12-27,76,1326544.04,Ativo
488,Empresa 488 LTDA,Criciúma,Agronegócio,2017-04-11,9,739812.57,Ativo
489,Empresa 489 LTDA,,Tecnologia,2022-09-24,74,4182904.67,Inativo
490,Empresa 490 LTDA,Chapecó,Turismo,2023-05-17,145,4922790.79,Inativo
491,Empresa 491 LTDA,São José,Indústria,2011-11-27,7,2652166.4,Ativo
492,Empresa 492 LTDA,,Agronegócio,2011-03-07,141,899812.46,Suspenso
493,Empresa 493 LTDA,Balneário Camboriú,Tecnologia,2013-06-28,137,1397921.27,Inativo
494,Empresa 494 LTDA,Itajaí,Comércio,2013-07-13,27,,Ativo
495,Empresa 495 LTDA,Lages,Serviços,2011-02-12,122,4575779.09,Inativo
496,Empresa 496 LTDA,Lages,Agronegócio,2011-10-31,5,632867.86,Ativo
497,Empresa 497 LTDA,Lages,Turismo,2016-02-08,29,2903756.55,Ativo
498,Empresa 498 LTDA,Chapecó,Serviços,2019-12-09,83,1406573.34,Ativo
499,Empresa 499 LTDA,,Indústria,2019-07-06,136,2793181.11,Suspenso
500,Empresa 500 LTDA,Lages,Comércio,2020-11-22,109,3274530.92,Ativo
